IP 地址,已发送,已接收,丢包率,平均延迟,下载速度 (MB/s)
2606:4700:0:de67:5cbe:639e:80a4:6c20,4,4,0.00,203.62,16.65
2606:4700:0:defb:753:b58f:ec8d:84a,4,4,0.00,203.29,14.89
2606:4700:0:de4c:8fdb:c57e:224:dc06,4,4,0.00,203.74,12.79
2606:4700:0:de67:5cbe:8126:cc9e:138f,4,4,0.00,203.70,11.11
2606:4700:0:de67:5cbe:63c9:54d2:10,4,4,0.00,202.61,10.67
2606:4700:0:21:852e:df46:bbb1:ee49,4,4,0.00,203.64,9.87
2606:4700::29:4630:81b2:6b05,4,4,0.00,203.60,7.96
2606:4700:0:77:4a5e:4b75:8a0c:adbb,4,4,0.00,203.60,4.20
2606:4700:0:77:4af1:6783:9e27:7f2,4,4,0.00,202.43,2.98
2606:4700:0:77:4a15:f06b:1869:c062,4,4,0.00,203.42,1.25
