IP 地址,已发送,已接收,丢包率,平均延迟,下载速度 (MB/s)
172.64.145.71,4,4,0.00,55.86,32.85
104.19.34.193,4,4,0.00,55.87,31.04
172.64.147.160,4,4,0.00,55.09,30.37
104.18.81.88,4,4,0.00,56.24,30.03
104.19.51.133,4,4,0.00,54.75,29.27
104.19.154.140,4,4,0.00,56.21,28.17
104.19.43.64,4,4,0.00,56.12,27.64
104.19.50.7,4,4,0.00,54.53,25.81
104.16.254.193,4,4,0.00,55.58,25.74
104.19.158.203,4,4,0.00,55.53,22.79
